# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# This file may be modified for personal use only; any modified version
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#  Where I havent found a foundry - as a last resort - lets stick
#  it into a folder of the program that created them

by ALLTYPE	_AllType
DTL DataMaster	_DTL Datamaster
with FontDen	_FontDen
FontForge	_FontForge
by FontLab Studio	_Fontlab Studio
FONTLAB30	_Fontlab Studio
FontLab, Ltd	_Fontlab Studio
Altsys Fontographer	_Fontographer
Generated by Fontographer	_Fontographer
Macromedia Fontographer	_Fontographer
by Fontographer	_Fontographer
Generated by Metamorphosis	_Metamorphosis
xpdf	_PDF Extract
buraks.com	_PDF Extract
pdf-x	_PDF Extract
pdf extract	_PDF Extract
PdfGrabber	_PDF Extract
Type-Designer	_Type-Designer
TypeSmith Amiga	_TypeSmith Amiga	# Program
vnedor Foo	_FOO
vendir SWAP	_SWAP
vendor TAKE	_TAKE
<your company>	_Your Company
(your company)	_Your Company

#  These should be obvious everything that looks like freeware

Absolutely Free	_FreeWare
free for a link	_FreeWare
free 4 a link	_FreeWare
free for personal	_FreeWare
free of cost	_FreeWare
For free distribution	_FreeWare
freeware ?for non-commercial	_FreeWare
Free for non?commercial	_FreeWare
Freeware from Alan	_FreeWare
FREEWARE!	_FreeWare
Freeware.	_FreeWare
Freeware Hairy Twat	_FreeWare
Release. Free of Charge	_FreeWare
freeware rlarabie	_FreeWare
freeware - rlarabie	_FreeWare
Share and enjoy	_Freeware
this is a free	_FreeWare
This free font	_FreeWare
FREE/NOT TO	_FreeWare
license gpl	_GNU GPL
GNU General	_GNU GPL
GNU?GPL	_GNU GPL
.0, GPL	_GNU GPL
GPL v2	_GNU GPL
GPL version 2	_GNU GPL

# Now for some problem entires.  While Fanta matches fanta obviously"
# it also matches fantastic etc."
#Fanta	Fanta

# problem fonts which duplicate parts of other fonts, so we move them out of line
ES Fonts	ES Fonts	# Ah Yes Fonts

#  Now for the real working table of foundries
1991 Font collection	1991 Font collection
1992 Font collection	1992 Font collection
1001 Free Fonts	1001 Free Fonts
2rebels	2 Rebels
2TheLeft	2 the Left
2 the left	2 the Left
?22? Soft	22 Software
2D Typo	2D Typo
2ttf Gallery	2TTF Gallery
4th february	4th February
4yeo.com	4YEO
a.c.asano designs	A C Asano Designs
Swimmingpoulp	a la nage
A.M. VanTorre	A M VanTorre
A.P.H. Stuart	A P H Stuart
A&M Records	A&M Records
A2-Type	A2-Type
Aah Yes Fonts	Aah Yes Fonts
aarrgghh! graphics	AARRGGHHH! Graphics
AARRGGHHH! Graphics	AARRGGHHH! Graphics
AARRGGHH!! Graphics	AARRGGHHH! Graphics
ABC Computer	ABC Computer
abcdesign	ABCDesign
aboutype	AbouType
ABSTRACT FONTS	Abstract Fonts
abstract type design	Abstract Type Design
Accademia di Belle Arti di Urbino	Accademia di Belle Arti di Urbino
Ace of Space	Ace of Space
aces?consultants	ACES Consultants
Acme Fonts	Acme Fonts
Acorda Design	Acorda Design
ACT SELECT	ACT Select5
ADDAX DESIGNS	Addax Designs
Adidas AG	Adidas
Adler's Graphics	Adler's Graphics
Admangraphics	Adman Graphics
Admix Designs	Admix Designs
Adnauseum Inc	Adnauseum Inc
Adobe	Adobe
Adore Design	Adore Design
Adrian Williams Design	Adrian Williams Design
adultramblings	Adult Ramblings
Anastacia E. Zittel	Adult Ramblings
ad vance graphic	Advance Graphics
Advanced Projects Limited	Advanced Projects Limited
AdvanceMeants	AdvanceMeants
Advantage Laser Products	Advantage Laser Products
?nigma fonts	Aenigma Fonts
kentpw@norwich.net	Aenigma Fonts
?nigma Productions	Aenigma Productions
??nigma Productions	Aenigma Productions
AeroType	AeroType
Aesthetix Graphic Design	Aesthetix Graphic Design
AFS Ltd	AFS Ltd
AfterGlowType	After Glow Type
AG Baltia	AG Baltia
AG Fonts	AG Fonts
Agfa	Agfa
Bayer Corp	Agfa
Mile Inc	Agfa
Miles Corporation	Agfa
Miles Inc	Agfa
"miles, inc"	Agfa
AGI STUDIOS	AGI Studios
laztemel	AGI Studios
of AGT	AGT
AH SoftFonts	AH Soft Fonts
Aharam Fonts	Aharam Fonts
AI-NET.Corp	AI-NET.Corp
AKAType	AKA Type
Akandis Digital Foundry	Akandis Digital Foundry
Alabala Ltd	Alabala Ltd
Aldus	Aldus
AAFonts International	Alessio Systems
alessio systems	Alessio Systems
AlfaBag	Alfa Bag
Alfadesign Fonts	Alfa Design Fonts
Alfred Smeets	Alfred Smeets
ALGORITHMS. Co.	Algorithms Co
ali fonts	Ali Fonts
Hague/Alias	Alias
Hague / Alias	Alias
Alice Computer	Alice Computer
Alicia Souza	Alicia Souza
All the Horses and All the Men	All the Horses and All the Men
all.the.world	All The World
Allied Corporation	Allied Corporation
Almedia Interactive	Almedia Interactive
AlphaBeck	Alpha Beck
P. A. Vannucci	Alphabet & Type
Alphabet Soup Type	Alphabet Soup Type
Alphabet Synthesis Machine	Alphabet Synthesis Machine
Alphabets?Inc	Alphabets Inc
Alphabets? Inc	Alphabets Inc
AlphaOmega Typography	AlphaOmega Typography	# Adobe
Alphyn Press	Alphyn Press
Altek Instruments	Altek Instruments
by Altemus	Altemus Creations
altemus creat	Altemus Creations
Altered Ego Fonts	Altered Ego Fonts
alternika	Alternika Fonts
AltSys QA	AltSys QA
