# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# of this file may not be distributed or published by any means.
# This file may be modified for personal use only; any modified version	
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#Name1	name2
!@##$%	Jack Keene
!@#$%	Jack Keene
!@$%	Jack Keene
"(c) eVe, "	Eve
"(c) M. Olive, 1990"	M Olive
"Benoit'bluerats""""DESPREZ"""	Benoit Desprez
"Benoit'bluerats""DESPREZ"	Benoit Desprez
"by Calvin ""Mr.Cow"" Sun"	Calvin Sun
"Chris ""Firehawk"" Nell"	Chris Nell
"Christian ""Catharsis"" Thalmann"	Christian Thalmann
"created by pete, 2000"	Pete
"Haneishi,Satoru"	Satoru Haneishi
"jakob ""droelma, da king"" kanior"	Jakob Kanior
"Klein, Manfred"	Manfred Klein
"Kothyai, Gabor"	Gabor Kothay
"Michal ""miszka"" Nowakowski"	Michal Nowakowski
"Mike ""Gumby"" Anderson"	Mike Anderson
"miyadima, takafumi"	Takafumi Miyadima
"miyadima,takafumi"	Miyadima Takafumi
"Peter ""The Shooman"" Schuster"	Peter Schuster
"Scott, Foresman & Company"""	Scott Foresman
"Takatoshi ""takker""  Katoh"	Takatoshi Katoh
"Takatoshi ""takker"" Katoh"	Takatoshi Katoh
"tommy"" of Escondido"	Tommy Of Escondido
"treacy,typefaces"	Joseph Treacy
"Treacyfaces,Inc"	Joseph Treacy
#? Characte	Character
#?GM	Graham Meade
#Aldus	Aldus	there is also a designer by name of Aldus!
#Almamoun Ahmed	Almamoun Ahmed
#by uazero	uazero
#Charlie	Charlie
#HiH Retrofonts	Tom
Karen Ackoff	Karen Ackoff
#LadySara	LadySara
#Laura	Laura
#RISS	RISS
#Ronald	Ronald
#Shift	Shift
#UNKNOWN	NotKnown
& GeM	Graham Meade
(c) 199? Levi	Jay Levi
(c) 199?-200? Levi	Jay Levi
(C) 1998 meir@sadan.com	Meir Sadan
(c) 200? Levi	Jay Levi
(c) Adam	Adam Worsley
(C) Aldo	Aldo
(c) apostrophe	Apostrophe
(C) AType	Artem Gerasimov
(c) Character	Character
(c) claude	Claude
(c) Darrian	Darrian Lynx
(c) dayflash	Christian Lang
(c) gm	Graham Meade
(c) HT	Hypo Typo
(c) jeff	Jeff
(C) ka	Ka
(C) kai	Kai
(c) kate	Kate
(c) M.  <lein	Manfred Klein
(C) Steiner	Steiner
(c)Darrian	Darrian Lynx
(C)Tomatketchaup(Tomo Fujita)	Tomo Fujita
(design: norm	Norm
(Markie)	Markie F Blackmon
*Chattie.*	Chattie
/c/ character	Character
?amy Halim	Samy Halim
?arc Borgers	Marc Borgers
?arie France Garon	Marie France Garon
?avid Boon	David Boon
?Gazoz	Gazoz
?lin duxus	Elin Duxus
?lvaro Thom?z	Alvaro Thomaz
?maxime l?esque	Maxime L‚vesque
?rico Lebedenco	Erico Lebedenco
?Uncle Al? Carr	Alan Carr
Éric de Berranger	Eric de Berranger
\203ric de Berranger	Eric de Berranger
~gyusan	Ushigoya
~rlarabie	Ray Larabie
<Alias	Alias
>seb<	Sebastien Delobel
© Character	Character
© GM	Graham Meade
©Character	Character
©G.M.	Graham Meade
©GeM/ff	Graham Meade
©GM	Graham Meade
1990 by Jenn	Jenn
1999 kirimax	Kirimax
20?? Stuart	Stuart Sandler
200? clops	Clops
2000 Alias	Gareth Hague
2007 Reserves.	Mike Jarboe
207rio Feliciano	Mario Feliciano
216phane giner	Daphane Giner
251 klein  11- 94    4.2003	Manfred Klein
4logoz.cjb.net	Blaise Kal
4thFG_TwoGuns	4thFG_TwoGuns
Örjan Nordling	Orjan Nordling
A Cheffy	A Cheffy
a Falange	E H Martuchelli
A Korolkova	A Korolkova
A Skersys	A Skersys
A Svensson	A Svensson
A.Sivavinayagam	A Sivavinayagam
A. Andreev	Alexander Andreev
A. Babaljan	A Babaljan
A. Bisiajew	Anton Bisiajew
A. C. Asano	A C Asano
A. Carr	Alan Carr
A. D. Farmer	A D Farmer
a. fahrenwald	A Fahrenwald
A. H?feld	Andreas Hofeld
a. k. m. adam	A K M Adam
A. Knipschild	A Knipschild
a. koch	A Koch
A. Loutsenko	A Loutsenko
A. M. Cassandre	A M Cassandre
A. Mendoza	A Mendoza
a. s. meit	Andrew S Meit
A. Shishkin	A Shishkin
a. skersys	A Skersys
A. Tagliente	A Tagliente
A. Terenteva	A Terenteva
A.Andreev	Alexander Andreev
A.Babaei	A Babaei
A.Babaljan	A Babaljan
A.Bisiajew	Anton Bisiajew
A.Frutiger	Adrian Frutiger
A.Gophmann	A L Gophmann
a.hoefeld@gmx.de	Andreas Hofeld
A.J.Palmer	A J Palmer
A.K.M.Adam	A K M Adam
A.Klimek-Falke	A Klimek-Falke
A.Koch	A Koch
A.Kustov	A Kustov
A.Loutsenco	A Loutsenko
A.Loutsenko	A Loutsenko
A.M.D. Lenarolle	A M D Lenarolle
A.M.D.Lenarolle	A M D Lenarolle
A.S.Meit	Andrew S Meit
A.S.Puskin	A S Puskin
A.Shevtsov	A Shevtsov
A.Shimosato	A Shimosato
A.Shishkin	A Shishkin
a.skersys	A Skersys
A.Svensson	A Svensson
A.Terenteva	A Terenteva
A.Williams	A Williams
A??sushi Aoki	Atsushi Aoki
A?sushi Moda	Atsushi Moda
Aakash Soneri	Aakash Soneri
Aali Sahay	Aali Sahay
Aaron Beck	Aaron W Beck
Aaron D.Schmiedel	Aaron D Schmiedel
